X=50.000 Y=0.000 Z=15.000,X=1.000 Y=-0.008 Z=-0.008,X=0.002 Y=0.052
X=49.039 Y=-9.755 Z=25.000,X=0.984 Y=-0.173 Z=-0.008,X=0.017 Y=0.002
X=50.000 Y=0.000 Z=25.000,X=1.000 Y=0.031 Z=-0.016,X=0.002 Y=0.002
X=49.039 Y=-9.755 Z=15.000,X=0.976 Y=-0.205 Z=-0.008,X=0.017 Y=0.052
X=50.000 Y=0.000 Z=5.000,X=1.000 Y=-0.008 Z=-0.008,X=0.002 Y=0.101
X=46.194 Y=-19.134 Z=25.000,X=0.929 Y=-0.362 Z=-0.008,X=0.033 Y=0.002
X=49.039 Y=-9.755 Z=5.000,X=0.976 Y=-0.205 Z=-0.008,X=0.017 Y=0.101
X=50.000 Y=0.000 Z=-5.000,X=1.000 Y=-0.008 Z=-0.008,X=0.002 Y=0.151
X=46.194 Y=-19.134 Z=15.000,X=0.921 Y=-0.394 Z=-0.008,X=0.033 Y=0.052
X=41.573 Y=-27.779 Z=25.000,X=0.843 Y=-0.535 Z=-0.008,X=0.048 Y=0.002
X=49.039 Y=-9.755 Z=-5.000,X=0.976 Y=-0.205 Z=-0.008,X=0.017 Y=0.151
X=50.000 Y=0.000 Z=-15.000,X=1.000 Y=-0.008 Z=-0.008,X=0.002 Y=0.200
X=46.194 Y=-19.134 Z=5.000,X=0.921 Y=-0.394 Z=-0.008,X=0.033 Y=0.101
X=41.573 Y=-27.779 Z=15.000,X=0.827 Y=-0.567 Z=-0.008,X=0.048 Y=0.052
X=35.355 Y=-35.355 Z=25.000,X=0.724 Y=-0.693 Z=-0.008,X=0.064 Y=0.002
X=49.039 Y=-9.755 Z=-15.000,X=0.976 Y=-0.205 Z=-0.008,X=0.017 Y=0.200
X=50.000 Y=0.000 Z=-25.000,X=1.000 Y=-0.047 Z=-0.016,X=0.002 Y=0.250
X=49.039 Y=-9.755 Z=-25.000,X=0.969 Y=-0.236 Z=-0.008,X=0.017 Y=0.250
X=35.355 Y=-35.355 Z=15.000,X=0.701 Y=-0.717 Z=-0.008,X=0.064 Y=0.052
